"Location","Per Capita Private Health Insurance Spending"
"United States","$4551"
"Alabama","$3641"
"Alaska","$5958"
"Arizona","$4035"
"Arkansas","$3906"
"California","$4735"
"Colorado","$4623"
"Connecticut","$5187"
"Delaware","$4806"
"District of Columbia","$8831"
"Florida","$4606"
"Georgia","$4406"
"Hawaii","$4222"
"Idaho","$3560"
"Illinois","$4875"
"Indiana","$4078"
"Iowa","$4076"
"Kansas","$4855"
"Kentucky","$4551"
"Louisiana","$4420"
"Maine","$5015"
"Maryland","$4343"
"Massachusetts","$5302"
"Michigan","$3950"
"Minnesota","$4603"
"Mississippi","$4045"
"Missouri","$4354"
"Montana","$3882"
"Nebraska","$4536"
"Nevada","$3417"
"New Hampshire","$4880"
"New Jersey","$5081"
"New Mexico","$4155"
"New York","$5338"
"North Carolina","$3859"
"North Dakota","$4410"
"Ohio","$4371"
"Oklahoma","$3878"
"Oregon","$4232"
"Pennsylvania","$4634"
"Rhode Island","$4620"
"South Carolina","$4235"
"South Dakota","$4335"
"Tennessee","$4680"
"Texas","$4696"
"Utah","$3657"
"Vermont","$5313"
"Virginia","$4218"
"Washington","$4328"
"West Virginia","$3917"
"Wisconsin","$5159"
"Wyoming","$4957"
