"Location","Per Capita Private Health Insurance Spending"
"United States","$4419"
"Alabama","$3549"
"Alaska","$5791"
"Arizona","$3769"
"Arkansas","$3730"
"California","$4560"
"Colorado","$4379"
"Connecticut","$5011"
"Delaware","$4498"
"District of Columbia","$8638"
"Florida","$4429"
"Georgia","$4329"
"Hawaii","$3976"
"Idaho","$3414"
"Illinois","$4680"
"Indiana","$4045"
"Iowa","$3982"
"Kansas","$4272"
"Kentucky","$4564"
"Louisiana","$4319"
"Maine","$4863"
"Maryland","$4159"
"Massachusetts","$5245"
"Michigan","$3865"
"Minnesota","$4263"
"Mississippi","$3931"
"Missouri","$4360"
"Montana","$3870"
"Nebraska","$4151"
"Nevada","$3295"
"New Hampshire","$4738"
"New Jersey","$4959"
"New Mexico","$4399"
"New York","$5362"
"North Carolina","$3663"
"North Dakota","$4567"
"Ohio","$4239"
"Oklahoma","$3570"
"Oregon","$4120"
"Pennsylvania","$4525"
"Rhode Island","$4802"
"South Carolina","$4094"
"South Dakota","$4353"
"Tennessee","$4548"
"Texas","$4582"
"Utah","$3486"
"Vermont","$4955"
"Virginia","$3975"
"Washington","$4348"
"West Virginia","$4100"
"Wisconsin","$4997"
"Wyoming","$4775"
